,char1,char2,Part,word_count,pos,neu,neg,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,char1x,char1y,char2x,char2y
39,Karenin,Stiva,4,3553,0.128,0.784,0.089,0.0053475935828877,0.016605685336335493,0.0030959752321981426,0.008725021108922038,0.014072614691809739,0.01773149451168027,0.029271038558964256,0.008725021108922038,0.008443568815085843,0.022234731213059387,-0.4339,-0.901,-0.7818,0.6235
40,Dolly,Karenin,4,1799,0.107,0.736,0.157,0.014452473596442469,0.008893829905503057,0.007226236798221234,0.020011117287381877,0.013896609227348526,0.033351862145636464,0.02612562534741523,0.019455252918287938,0.007226236798221234,0.022234574763757644,0.9749,-0.2225,-0.4339,-0.901
41,Levin,Stiva,5,848,0.139,0.783,0.077,0.007075471698113208,0.014150943396226415,0.0047169811320754715,0.007075471698113208,0.015330188679245283,0.018867924528301886,0.03773584905660377,0.003537735849056604,0.014150943396226415,0.02122641509433962,0.7818,0.6235,-0.7818,0.6235
42,Kitty,Levin,5,7741,0.15,0.742,0.108,0.013047409895362357,0.01847306549541403,0.007105025190543858,0.01253068079059553,0.020410799638289626,0.024544632476424234,0.03332902725746028,0.012789045342978943,0.012272316238212117,0.019248159152564268,-0.9749,-0.2225,0.7818,0.6235
43,Karenin,Vronsky,5,119,0.033,0.884,0.083,0.008403361344537815,0.03361344537815126,0.0,0.0,0.008403361344537815,0.008403361344537815,0.025210084033613446,0.008403361344537815,0.01680672268907563,0.01680672268907563,-0.4339,-0.901,0.4339,-0.901
44,Levin,Vronsky,5,28,0.0,0.889,0.111,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.7818,0.6235,0.4339,-0.901
45,Dolly,Stiva,5,94,0.276,0.669,0.054,0.010638297872340425,0.0425531914893617,0.0,0.010638297872340425,0.06382978723404255,0.02127659574468085,0.06382978723404255,0.0,0.02127659574468085,0.031914893617021274,0.9749,-0.2225,-0.7818,0.6235
46,Anna,Dolly,5,28,0.098,0.902,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.07142857142857142,0.0,0.0,0.03571428571428571,0.0,1.0,0.9749,-0.2225
47,Anna,Karenin,5,1010,0.111,0.743,0.146,0.00891089108910891,0.01881188118811881,0.006930693069306931,0.01485148514851485,0.01089108910891089,0.0297029702970297,0.024752475247524754,0.016831683168316833,0.006930693069306931,0.016831683168316833,0.0,1.0,-0.4339,-0.901
48,Anna,Vronsky,5,4992,0.13,0.785,0.085,0.008413461538461538,0.016826923076923076,0.004206730769230769,0.007211538461538462,0.016626602564102564,0.022435897435897436,0.035256410256410256,0.00921474358974359,0.007411858974358974,0.019230769230769232,0.0,1.0,0.4339,-0.901
49,Levin,Stiva,6,2776,0.096,0.819,0.085,0.014769452449567724,0.014048991354466859,0.007564841498559078,0.007204610951008645,0.010806916426512969,0.020172910662824207,0.029538904899135448,0.0111671469740634,0.00792507204610951,0.023054755043227664,0.7818,0.6235,-0.7818,0.6235
50,Kitty,Levin,6,4517,0.145,0.75,0.105,0.007084348018596413,0.011069293779056896,0.004870489262785035,0.0059774186406907235,0.017489484170909897,0.021695815806951516,0.034757582466238654,0.009298206774407793,0.00841266327208324,0.019039185299977862,-0.9749,-0.2225,0.7818,0.6235
51,Dolly,Stiva,6,423,0.163,0.803,0.034,0.004728132387706856,0.016548463356973995,0.002364066193853428,0.004728132387706856,0.018912529550827423,0.009456264775413711,0.026004728132387706,0.0070921985815602835,0.01182033096926714,0.01182033096926714,0.9749,-0.2225,-0.7818,0.6235
52,Anna,Dolly,6,6850,0.133,0.787,0.079,0.006569343065693431,0.013284671532846716,0.003357664233576642,0.00583941605839416,0.014306569343065694,0.015328467153284672,0.03518248175182482,0.007153284671532847,0.008759124087591242,0.01927007299270073,0.0,1.0,0.9749,-0.2225
53,Dolly,Levin,6,1257,0.118,0.782,0.1,0.011137629276054098,0.018297533810660304,0.003977724741447892,0.006364359586316627,0.016706443914081145,0.015910898965791568,0.0294351630867144,0.00954653937947494,0.011933174224343675,0.01909307875894988,0.9749,-0.2225,0.7818,0.6235
